Accuracy,BPM,Difficulty,Length,Title
6.0,107.0,2.9305706024142855,113,Spring Day
9.0,103.0,5.755940914157142,208,Something Just Like This
7.0,84.94,4.014819622042857,68,Aurora
5.0,92.0,2.42723965645,42,All Star
9.399999999999999,213.0,6.659744739535713,89,My Sweet Maiden (TV-size)
8.0,146.0,4.3364367485071424,295,DEAREST DROP
8.0,172.0,5.262515068057143,228,oddloop
9.0,189.0,5.8984193801857145,87,Datte Atashi no Hero. -TV ver.-
8.0,184.0,5.247235298157143,99,u/n
8.6,165.0,5.5700397491428575,302,DYE/Re:flection+
8.0,180.0,5.228984832764286,200,Jitter Doll
7.0,185.0,7.003365039828571,318,BLACK or WHITE?
9.399999999999999,276.0,8.157903671285714,289,A-L-I-E-N
5.0,98.0,2.5639576911928574,431,Cordless*Tere*PHONE
7.5,180.0,5.449209690092857,108,Be Your Light
9.0,160.0,5.254410743714285,86,Nippon Egao Hyakkei
8.799999999999999,190.0,6.098753929135714,640,Save Me
9.200000000000001,193.0,6.004118442535714,88,RE-ILLUSION (TV Size)
8.0,170.0,5.214363574978571,292,Himawari no Sakamichi
9.5,180.0,6.575592041014286,405,Midway Colors
7.0,105.0,3.6298577785499995,30,Kimi Iro Smile
8.7,210.0,5.892084598542857,166,Aimai Elegy
8.0,144.4,4.7861800193785715,36,Star Vs The Forces Of Evil Theme
9.0,175.0,5.8361492157,176,We Won't Be Alone (feat. Laura Brehm)
8.1,160.05,5.396192550657142,93,Senpuu no Mai [Ten]
8.5,180.0,4.9071598053,107,Chikurin in Flames
8.0,85.0,4.866839408871429,89,Chiisana Amai Koi
8.0,164.0,4.7737402915928575,235,Calendrier
8.0,125.0,4.097789764407143,167,Red Flavor
8.5,175.0,5.255563259121428,86,Yuriyurarararayuruyuri Daijiken
8.0,160.0,4.318283081057142,109,One Small Step
9.0,200.0,6.18126010895,122,Frey's Philosophy
6.0,76.0,2.7971329688999997,150,shionari
8.0,70.0,3.769545078278571,89,Stay Alive
7.5,111.966,3.8199598789214284,116,Duet
7.5,120.0,3.769411325457143,45,MRAZ' (feat. Larin)
8.5,185.0,5.05841732025,324,SHUTTER*GIRL-crossfade-
8.5,98.0,4.909681320192856,217,BLOWIN'
7.0,120.0,3.8465006351499995,300,Best of my Love
8.7,170.0,5.7378859519928564,297,YELL!
8.399999999999999,175.0,5.316930294035714,205,Taiyou to Kurashite Kita
8.5,153.5,5.4303278923,107,Zauberkugel
